,Year,School,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
0,2010,Air Force,.100,-16.91,3.06,1590,2010,63.9,82.9,.264,.298,.446,47.5,54.4,9.7,2.3,.412,22.7,33.7,.179
1,2010,Akron,.563,0.06,-2.26,2004,1856,69.6,89.7,.351,.227,.482,52.8,60.2,11.4,6.1,.439,21.7,38.8,.247
2,2010,Alabama,.400,2.55,5.15,1921,1999,75.7,83.5,.277,.235,.456,49.5,52.6,9.9,6.7,.431,21.0,33.6,.170
3,2010,Alabama A&M,.552,-15.95,-11.98,1782,1748,73.4,83.7,.491,.193,.486,52.9,49.2,12.0,12.1,.427,27.7,40.4,.343
4,2010,Alabama State,.433,-14.81,-12.50,1662,1571,67.1,82.3,.452,.182,.429,56.3,62.5,11.8,12.7,.375,23.2,42.0,.292
5,2010,Albany (NY),.367,-9.19,-3.79,1692,1854,71.2,78.2,.324,.262,.410,46.6,47.5,13.0,7.3,.372,19.4,32.2,.204
6,2010,Alcorn State,.286,-18.89,-8.99,1691,1968,78.0,77.1,.381,.239,.421,42.3,50.9,14.6,2.7,.377,21.8,31.0,.240
7,2010,American,.688,0.60,-7.31,1978,1725,65.3,94.3,.313,.300,.500,52.1,55.7,12.4,10.0,.457,18.8,36.6,.234
8,2010,Appalachian State,.657,0.03,-4.11,2336,2191,75.6,87.7,.287,.208,.493,56.2,61.8,13.1,15.8,.468,23.6,38.7,.186
9,2010,Arizona,.452,10.36,11.46,2028,2007,71.7,90.5,.327,.275,.497,49.9,50.2,10.1,6.8,.463,21.4,32.8,.224
10,2010,Arizona State,.563,14.43,11.30,2014,1914,71.6,87.6,.375,.171,.482,53.9,57.6,13.0,9.7,.439,22.6,39.1,.257
11,2010,Arkansas,.400,7.99,10.42,1948,2021,73.7,87.0,.266,.298,.478,48.6,52.2,12.5,9.5,.446,20.9,33.2,.183
12,2010,Arkansas State,.419,-5.49,-2.46,2038,2132,76.3,84.8,.363,.185,.451,49.0,48.0,12.1,9.2,.409,20.5,35.7,.239
13,2010,Arkansas-Pine Bluff,.267,-16.42,-6.68,1901,2193,78.4,80.4,.390,.275,.457,46.4,53.5,12.8,6.7,.411,24.2,35.2,.262
14,2010,Army,.379,-13.56,-7.91,1519,1619,64.8,80.1,.254,.317,.435,49.7,50.7,10.2,8.1,.402,21.6,33.6,.173
15,2010,Auburn,.484,10.64,10.97,1917,1927,67.9,90.0,.313,.215,.474,54.0,56.8,8.7,12.5,.453,20.3,41.1,.184
16,2010,Austin Peay NCAA,.455,-11.76,-5.34,2160,2372,74.2,87.2,.393,.261,.468,50.8,43.9,9.5,6.6,.420,20.4,34.6,.270
17,2010,Ball State,.452,-0.45,-0.16,2079,2088,73.1,91.4,.289,.316,.506,50.6,56.3,10.5,7.3,.472,21.9,34.3,.207
18,2010,Baylor NCAA,.730,27.95,14.01,2603,2087,73.2,95.8,.428,.152,.527,56.4,57.8,9.1,17.3,.479,19.9,34.3,.310
19,2010,Belmont,.500,-10.72,-9.38,1946,1986,71.9,89.1,.350,.391,.468,48.7,58.6,8.1,8.6,.422,17.1,29.0,.247
22,2010,Bethune-Cookman,.531,-16.61,-10.26,2002,1960,72.1,86.1,.423,.166,.454,52.0,50.0,11.6,6.6,.409,21.7,33.9,.274
23,2010,Binghamton,.367,-3.95,-1.58,1844,1915,68.8,88.6,.264,.334,.467,49.8,51.7,11.0,6.7,.442,18.9,34.5,.168
24,2010,Boise State,.613,1.31,-0.86,2181,2040,75.0,93.1,.336,.280,.481,53.2,46.9,12.7,10.1,.440,19.0,37.5,.235
25,2010,Boston College,.531,14.71,11.11,2208,2032,70.8,97.1,.263,.304,.527,53.4,58.8,8.4,7.4,.492,21.3,38.4,.202
26,2010,Boston University,.516,0.76,0.89,2003,2007,74.9,85.9,.343,.331,.466,45.9,58.3,10.1,7.6,.426,17.6,24.7,.232
27,2010,Bowling Green State NCAA,.794,12.50,-0.42,2495,2056,72.4,101.3,.353,.371,.540,51.0,59.1,11.4,7.9,.498,18.4,33.3,.266
28,2010,Bradley,.548,1.04,1.59,1960,1977,72.9,86.7,.331,.304,.491,54.0,59.6,11.0,12.1,.470,24.5,38.2,.198
29,2010,Brigham Young,.697,9.38,2.81,2129,1912,69.0,92.8,.232,.333,.510,52.4,66.5,13.0,9.0,.489,21.0,34.9,.154
30,2010,Brown,.286,-13.51,-2.54,1493,1800,71.7,73.7,.288,.281,.403,46.3,49.0,13.3,6.9,.357,21.5,32.4,.200
31,2010,Bryant,.448,-9.68,-7.93,1844,1895,74.8,84.7,.373,.310,.472,51.9,63.4,8.9,8.2,.428,23.1,34.6,.255
32,2010,Bucknell,.250,-13.72,-6.53,1527,1628,67.2,81.2,.303,.239,.470,55.0,60.7,10.7,10.2,.444,26.6,39.3,.186
33,2010,Buffalo,.233,-6.29,-0.99,1879,2038,71.9,86.0,.317,.288,.482,51.9,58.2,11.0,10.0,.447,24.0,38.5,.215
